id,name,region,distance,climb_score,effort_count,start_latlng_lat,start_latlng_lon,end_latlng_lat,end_latlng_lon,average_grade,maximum_grade,total_elevation_gain,surface_type,polyline
2699447,Stara Strunjanska,['Piran'],2294.28,4.2398,30782,45.5255747493,13.6003935244,45.5219968501,13.5870532226,4.3,9.4,98.6,unknown,yuztGmi_rA~BlCvE~EvBtBPVBN?PCPGN]VQVIj@JvAn@bD?PCLGHGDWDYCWIKIO[w@_Ak@Y_@O{@UaDq@O?KJERDTJJLBZAVBnBn@`@RbDjDl@f@`@TFNCh@CPC?qB}AkBy@i@[]Ik@?[BODIJGNCd@V|DDlDBv@Hb@XXv@VVJzDnBpAr@jAhAv@~@HNn@nBBT?VGl@g@|B]bBEh@@h@N~@Zt@V^rAvA
11956609,vzpon tlakovci seča,['Piran'],431.4,1.4022,31973,45.492886,13.609742,45.495797,13.612325,5.7,18.0,24.6,unknown,oittG{carAo@e@m@q@k@_@_Ay@QKi@m@[YWMOSYMAESSAGOCGGAOCM{@u@MOEH@BTNBA@CE@MKYKm@g@]U
20080155,Sv. Jernej,['Piran'],1765.4,0.004,31701,45.500242,13.590804,45.493234,13.609237,0.1,1.1,4.0,unknown,owutGom}qAPcBl@aER}@b@}@NQn@[|AWv@UPId@_@n@{@n@sA\aAFY^eGVuB^aCl@eF~@yKv@yFJcCPuBd@uBTg@NUd@_@dBeAhAo@pAiAx@cAb@s@`@y@Li@B_@BsGRoCd@sCLW
15727836,Šprint sv. Jernej,['Piran'],2105.3,0.0,39248,45.478125,13.619268,45.491922,13.608873,-1.9,0.0,0.0,unknown,gmqtGk_crAiBkAsDuCcBgAqFeDaAe@w@Sw@Ik@AeAFgARw@Z_Aj@o@h@cAjAu@dAcBxCc@d@qBt@{@RuAN{@?gBJMB[Ne@d@m@z@Sb@Od@_BjHoChNuDlPQb@_@p@wFbJc@n@
19332247,OS Secovlje,['Piran'],359.1,0.0,6295,45.479586,13.627179,45.476459,13.626864,0.4,1.5,0.0,unknown,kvqtGypdrA^Iz@_@lAInAWl@Q^C^H`@RnBxAn@\\Fh@@
14943749,Saline Sicciole,['Piran'],3549.6,0.0,29873,45.466232,13.621733,45.491912,13.60892,0.0,5.8,6.0,unknown,}botGyncrAEKE?_@XyAtA}@n@iCdAi@Zs@TU@mCIyAe@_C_@YA[@WJs@j@m@\q@LeABs@Ta@BkBhAu@Xu@^qAb@o@NgBLIFQZWPuBt@w@NQNKBWBUb@IFGBKAGGOe@g@k@a@Ya@Qo@GUGSQu@aAi@_@K@IJ_@t@GFGASYuByAi@c@o@q@w@k@k@Y]Wq@[qDaC{BiAm@QWEYEg@AgBLgAVk@Zw@d@cAx@a@^m@z@uBxD_@^wBv@}@TeFVo@JSPSRw@hAO\Sn@aB`HoDdQwCjMMZuAfCuEpHUV
10741245,Koper-Izola,"['Izola', 'Koper']",3034.8,-0.2474,124440,45.546764,13.708287,45.540746,13.673455,-0.2,38.5,123.7,unknown,gz~tGwktrAEVEbAY`DMjCIxDGx@[rC_@bEkAtJKhBAb@BxF?nCM`H?hAFxJDnIInBc@pDGfAAhADhANfArCvO`ClLf@pCjA~Jv@zNPlARfAlA~FXdA^|@RZRXj@l@vIlGf@b@f@f@|ArBzCxEfAzA
1782382,Izola - Belveder,['Izola'],1165.76,3.695516,31826,45.5300920084,13.6504404433,45.5307082878,13.6367211957,5.5,18.1,67.1912,unknown,ar{tGgbirATh@Nn@VlBDt@@fBKdBQrAwAxG_A`F_@vAUrAMf@SnAEn@@l@Hl@Nb@pAvBL^Fb@RtED\Rz@r@pBF\@^A^EZwAvEQx@U|AQ~AA^
26304972,Ruda sprint,"['Izola', 'Koper']",332.4,0.023,128925,45.542692,13.675888,45.540521,13.673035,0.5,3.3,4.6,unknown,y`~tGganrAl@l@bAlAfBlCf@z@nDrF
10370629,Dobrava do cerkve,['Izola'],1262.7,2.668,12436,45.52723,13.62513,45.52952,13.635568,4.6,10.0,58.0,unknown,e`{tGaddrAw@a@QOMSOy@C]B]HYRk@Lm@B_BAm@e@cGAkACWGSOIMDIPCzBWdEGTKLOAKMGS_@kBa@aAc@k@eByAg@u@Ye@IWGWSqD@o@Do@xAiNHgAC{AS{E
1911147,Korte Climb,['Piran'],2036.09,15.05,7079,45.4899882898,13.6734413076,45.489001153,13.6622061208,8.6,15.1,175.0,unknown,kwstG_rmrA\?TFV@PPHP@HKJ]GI@m@ZM@KF_A|@k@x@GTHLHA`@_@JGXBTHd@`@RVDLBd@V|B?j@DTBd@B`BLzAHhDDZHtAJb@Dj@R`AB`@Pl@D`@N\ALIHKGmBsCk@uASs@Os@Me@Q[IKEAIFCJ@ZL`@Nx@Jv@F|ADb@bAjFr@bBt@`Cd@`Ad@x@`@b@lAfBbAbAh@p@HP?JEBE?m@YqAa@w@a@aAc@eAu@SIk@IQIG?CDAJBt@Kh@JLB?l@`@`AdB^z@
1819670,Korte Climb,['Piran'],1432.52,7.046754,13666,45.4853122775,13.6393531132,45.4892116645,13.6546944268,6.6,25.1,106.769,unknown,ezrtG}|frA`@aCZsABiBCu@GQIImBc@[SWYk@_Ak@yAIQMKo@UMIKOCUHs@Cu@WiAUcB]aEIuAB{@\eBHy@@y@Eu@Km@GSMO_@QOMMQg@aA_AcCg@mBUuAG{@AeAFoAFe@d@uC?g@Ge@UcAu@aC]}@m@yAu@uA
2212276,seča-korte,['Piran'],4055.93,0.0,10299,45.4965577321,13.6135215964,45.4892923404,13.6548265256,4.4,25.1,0.0,unknown,m`utGo{arA`@Ob@WnBaBh@s@p@mAPU~@u@~@aA|@oAlBaCdCaETSh@_@PUnAkBtBmDdAwAjAyALSPu@RmBj@gBLy@B_AGuA?oBd@oET_FTiBTkABYHYLw@Fw@f@wDZqANWPITDPNNRPLRGLWRu@d@kAVg@j@u@^[nB{@NM^c@LULm@z@{C`AyCHa@PmAPgCHk@Jg@Pe@T]ZYX]Ne@Jm@?m@I}AKo@]wAGo@JsCM{AAk@@k@LyARwADm@`@aCZsABiBCu@GQIImBc@[SWYk@_Ak@yAIQMKo@UMIKOCUHs@Cu@WiAUcB]aEIuAB{@\eBHy@@y@Eu@Km@GSMO_@QOMMQg@aA_AcCg@mBUuAG{@AeAFoAFe@d@uC?g@Ge@UcAu@aC]}@m@yAeAoB
9406836,Šmarje DH,"['Piran', 'Koper']",2827.4,-0.11,12282,45.509062,13.704654,45.49583,13.677898,-5.5,0.0,2.0,unknown,snwtGausrAtAEhCw@j@Gn@DVFl@Zf@j@^t@VbAzAtNFvADtDHzA\bCl@xBnApCd@pAvDpOb@`CHn@HzADjCJzATvAt@pDP|ADl@B~AAhCBvAv@bN\bJJrAPrAZpANb@j@~@p@n@x@^pBp@v@\XRdBzAZTZNzL`Ft@`@p@n@h@|@b@`Ab@z@j@n@TPn@Zn@P
7022368,Stara Šmarska,['Koper'],4396.0,12.7424,30614,45.52604,13.733816,45.51589,13.7041,4.4,40.3,289.6,unknown,wxztGikyrA^Rx@|@V`@l@pARj@h@rCDr@AhBInBGv@Ot@iFrTOr@?p@ZVl@kA\i@^g@`@]hBw@`Am@\[`@Ql@Cj@Hf@R`@d@`@^r@vAx@vCZdBj@bB\h@fAbAXj@Pt@Nt@p@~EZlBDpBGv@qAvFIt@?r@Zb@hA@Nn@AbAIp@W~CSzAa@xAuA|FSh@Q\_@X_@\Ez@PlACt@Ol@m@hACp@HlB?fBMnCIr@Br@PzAMzAHn@TRb@fAFj@TXPl@Ll@|@fBX`@^VZMKWa@Yb@q@Ry@Bq@PgALeBPu@BuCLm@Bi@fAmCLm@~@_@ZTXZR`@RVTp@V`@Hn@Jh@Vb@Nj@Nt@\hCXhAXxCLj@^rCTf@d@xBBpBAn@Jt@PhAZ\bAO\@^VV`@Rl@t@dA~@d@z@ZR[F{@Ru@
7923918,vanganel-babici,['Koper'],3162.6,7.98,13717,45.517648,13.779053,45.501182,13.782107,5.0,11.2,159.6,unknown,gdytGafbsA`@[jAkAtAm@bCu@b@Av@RxAPjBBTAfADl@HTD`@Bj@^jAtAj@VrAZZJx@d@d@NVFjALp@JlA^TNdAZxATj@RJJd@h@l@dAVZb@x@x@xBt@v@zAx@fBtAl@Ph@DTJlB`Bz@f@j@d@pAdB^\n@`@bAb@f@P^X`A~@n@XPD|@FRA`@GVUDGHY?WQu@WYcBcAe@_@OSMS}@cCWc@_@c@KSIs@D[R_@JQd@_@fAi@pBk@r@_@r@g@TWT[HYBYKw@c@_@YQaBq@gAk@c@k@IWAYHe@P_@XWLGt@Eb@FV?f@GLK\O`@]h@i@j@w@Ri@D_@Ba@M}A?y@Dc@n@}Ab@m@
24643819,Salitina,['Koper'],1148.5,0.6028,42194,45.55781,13.786559,45.553192,13.799775,2.2,6.9,27.4,unknown,i_auG}tcsALk@zCoHx@uBfC}I^_BpAqGvD}SlBaKj@gC\oAd@_Bf@yA
25118291,Bertoki - OMW,['Koper'],2109.3,-0.0204,40328,45.546443,13.764925,45.557476,13.78581,-0.2,3.3,10.2,unknown,gx~tGwm_sAy@eBe@k@wAgA[YUg@}AaKs@oC_AgCq@mCkB_Kc@iBg@gBWo@yA}CwA{BuBoCeBiBk@e@w@o@aD{BgA_AsAgBo@oAk@{Ac@aB_AyFSi@Ue@][{@k@]Yk@eAeDiIGSSqAEgBOiAiA{C
2125072,Babici-Pomjan,['Koper'],2135.1,14.031654,7511,45.50004452,13.7821404263,45.4994989,13.7570013385,7.8,31.3,179.893,unknown,gvutGkybsADVCTGTGl@AT@l@BVPh@\t@LNFP@TCfAChD@\RtAHnARbB?ZG\w@bBWv@E\Cz@BpAVbBb@fBHPLHl@EHHHRPj@j@r@JTJZD^HlA@vAL|BIb@[~@I|ACt@@hAFRJPBTEh@YxBMhBA`@B|BBj@XxBFx@d@xBDp@InEGj@UxAAr@Ft@FTb@jABRLvA?n@FJ@b@Bh@DN@f@Ej@]fBGj@MjC?rAGpCMjA[vAiAlBI^c@jACR
647995,Nova Vas,['Koper'],1494.01,5.7784,14154,45.471877344,13.683177894,45.4799220432,13.6967595108,6.2,20.8,93.2,unknown,efptGynorAWRe@Le@WeAWm@Yi@KuBu@]QUMYa@o@cAy@aBcAkAUo@}@sD_@wCc@{@iAyAWe@M]Mk@SsAe@yBSy@_@kAuAmDi@eBMu@YgC]mA]i@KYEo@Mo@OYKCM?WJK?EE]{@]o@u@{Bq@gCuA}E
14983384,Strappo Kavaliči,['Koper'],301.7,0.3888,16486,45.517873,13.824248,45.520166,13.82609,3.6,10.8,10.8,unknown,ueytGo`ksAc@]q@y@QMs@_@w@]aAq@e@Qm@Oi@YYa@[}@
22627178,Pomjan climb,['Koper'],315.0,1.1554,14424,45.499561,13.752759,45.499216,13.756481,5.3,19.4,21.8,unknown,gsutGua}rA@i@d@gBNaCCcABUDSXi@L]D_@Ae@MSGGQm@CqAF}@
19666096,Gremo na Črni kal,['Koper'],5602.0,12.4362,18005,45.543279,13.854708,45.566665,13.8721,4.7,7.4,264.6,unknown,md~tG{~psAZkDBs@As@Gq@I_@mAiEO_AEq@?a@Dq@Hm@d@oB^qAj@{A~@uBPi@F]Fq@?eAKcAqAaFWcBGq@Es@AgBVyG?wAEs@[oCWcAUm@c@y@]g@u@{@a@a@_Ak@_Ac@kCaA{@c@qFwDc@]i@o@[g@uAmB{@g@yAWo@Da@Je@T_Aj@cA`@_@Hk@@}@C]EgAWs@WUMUe@[gAEK[W_@G]BcAT]Di@G_@e@Ky@Fm@Ve@v@Yp@@n@JfCz@f@Jf@Dr@Gb@Qh@c@NUTk@r@oCZ_AXk@f@s@|@cAf@q@Tk@VcAJgALgDVaAd@o@n@UjAMVMVoA}Au@]f@i@l@cAj@s@l@Sd@]fA[t@i@x@s@b@k@Nm@?{DQcBAcBJo@Ja@Lw@b@sBvBm@^a@Lc@@k@I_@MeCiAo@Oq@G_A@q@HeC`@eB^aA`@KH{AvA}BdCi@f@m@\uDfBcAn@}@v@kBjB}ArAuA~@q@Z_Bh@yAXw@Hw@DmA?{AKm@ImAWqBg@uAQ
5674220,kubed,['Koper'],4209.1,6.4506,23983,45.532477,13.872523,45.519949,13.869846,3.9,13.0,165.4,unknown,}`|tGgntsAZIr@s@Py@AgA[iDWgE?y@Li@`@u@l@o@b@i@JQp@kBp@gBNQz@aBpAuDb@y@`@c@NKj@OdAQTIh@_@h@_AL]d@_ALMPSxA}@x@m@tAkAl@q@|DaEPUhAiAbAw@lBiAt@YrB[~@SRKtAgAr@[VIr@C^BVFp@Vh@\r@z@j@dARXd@`@XJ\@|AKR@b@NVXLRN`@Jt@BZAj@If@Qn@o@pBUfAKr@WvAM`@]t@s@dACRu@~@{@v@eAr@iBz@o@r@IRa@l@Wh@{@rABXy@tAG^Q\gAhBa@hAu@hCM`BSt@Mv@QfCEpCe@bFe@vBEZAt@@XDXR^l@^j@Cb@]l@aA`A{@~AiAZYnBaClBoCh@o@NKnAi@fB_AZIRAH?TNVh@Ff@Ct@OvAIpA?ZHjDAt@?dAFX^z@
